Amostra,Potencia_Media_do_Vento_(MW),,,,Potencia_Media_Consumida_(MW),,,,Desvio_Padrao_Vento_(MW),,,FCSPV_(Fracao_de_Carga_Suprida_pela_Potencia_do_Vento),,,,,
563,2824.819167,,,,87273.35417,,,,861.1343457,,,0.032367487,,,,,
564,1819.852917,,,,88481.19583,,,,1108.624476,,,0.02056768,,,,,
565,1510.5425,,,,83677.15208,,,,549.0530147,,,0.01805203,,,,,
566,1001.344583,,,,83494.01958,,,,700.3823935,,,0.01199301,,,,,
567,1794.430833,,,,92389.52083,,,,628.8983838,,,0.01942245,,,,,
568,1543.327083,,,,89941.67625,,,,503.2085834,,,0.017159199,,,,,
569,1866.455,,,,88366.22292,,,,931.5753877,,,0.021121815,,,,,
570,3674.3575,,,,90556.59458,,,,1018.880421,,,0.040575261,,,,,
571,1944.322083,,,,93166.73667,,,,1019.348168,,,0.020869273,,,,,
572,3634.73625,,,,88029.11292,,,,1249.724069,,,0.041290161,,,,,
573,4213.074167,,,,86059.76375,,,,1722.901308,,,0.048955214,,,,,
574,1790.86375,,,,91064.67125,,,,630.8493895,,,0.019665845,,,,,
575,3036.094167,,,,88514.38875,,,,964.3991535,,,0.034300572,,,,,
576,6056.020833,,,,83562.69125,,,,1356.921408,,,0.072472784,,,,,
577,3376.431667,,,,78555.01083,,,,878.74098,,,0.042981748,,,,,
578,6872.697917,,,,79421.87208,,,,716.6652411,,,0.086534071,,,,,
579,7019.762917,,,,75693.9775,,,,689.8927792,,,0.092738724,,,,,
580,7742.085,,,,74313.01917,,,,836.4556349,,,0.104182081,,,,,
581,5718.538333,,,,78901.255,,,,1402.040647,,,0.072477153,,,,,
582,2539.389167,,,,76621.16042,,,,903.1751954,,,0.033142139,,,,,
583,1390.519167,,,,76398.47833,,,,799.7204633,,,0.018200875,,,,,
584,3258.33125,,,,77257.48792,,,,1025.092906,,,0.042174957,,,,,
585,4031.855,,,,78090.73375,,,,955.4616495,,,0.05163039,,,,,
586,1141.99875,,,,74714.26292,,,,771.1899794,,,0.015284883,,,,,
587,2762.742917,,,,77240.13792,,,,976.4337574,,,0.035768229,,,,,
588,3938.254167,,,,88470.13583,,,,1206.285993,,,0.044515069,,,,,
589,3072.17375,,,,92926.05042,,,,1395.397111,,,0.033060415,,,,,
590,4434.19625,,,,93859.62667,,,,869.1247833,,,0.04724285,,,,,
591,3191.69375,,,,93783.63542,,,,1088.802598,,,0.034032523,,,,,
592,3401.722083,,,,91970.5125,,,,1139.414532,,,0.036987095,,,,,
593,5186.749583,,,,85442.3925,,,,915.2163311,,,0.060704639,,,,,
594,5650.217917,,,,85313.25833,,,,1027.610014,,,0.066229072,,,,,
595,2200.8325,,,,84882.3725,,,,1397.628552,,,0.025928028,,,,,
596,2634.26,,,,89712.11875,,,,821.2634208,,,0.02936348,,,,,
597,1890.037083,,,,82640.79625,,,,405.2912072,,,0.022870509,,,,,
598,1930.571667,,,,80229.7875,,,,908.7306196,,,0.024063029,,,,,
599,2862.215833,,,,73348.7375,,,,742.8630906,,,0.039022019,,,,,
600,1805.649583,,,,65294.36083,,,,579.0526351,,,0.02765399,,,,,
601,5528.5325,,,,62722.54208,,,,1218.715553,,,0.088142673,,,,,
602,6929.896667,,,,73560.52708,,,,1106.419963,,,0.094206729,,,,,
603,8158.299583,,,,79250.05792,,,,1061.668253,,,0.102943768,,,,,
604,7792.6775,,,,82472.8725,,,,841.1317424,,,0.094487766,,,,,
605,6011.35625,,,,84226.44917,,,,1596.26298,,,0.07137136,,,,,
606,3356.352917,,,,81346.42042,,,,1320.408817,,,0.041259995,,,,,
607,3217.412083,,,,71623.01208,,,,1193.573789,,,0.044921485,,,,,
608,4437.55375,,,,67229.08917,,,,828.4748809,,,0.066006454,,,,,
609,5677.697083,,,,74795.41375,,,,895.9877085,,,0.075909696,,,,,
610,2537.965417,,,,76341.55583,,,,1235.564775,,,0.033244874,,,,,
611,2455.82,,,,77242.94333,,,,784.4197621,,,0.031793454,,,,,
612,2956.055833,,,,77792.76208,,,,820.0464605,,,0.037999111,,,,,
613,2892.782917,,,,77089.70833,,,,1093.967838,,,0.037524891,,,,,
614,3993.104583,,,,69941.235,,,,1615.514652,,,0.05709228,,,,,
615,5461.10375,,,,68625.05458,,,,1039.029669,,,0.079578862,,,,,
616,3196.325833,,,,78575.3375,,,,1385.200728,,,0.040678487,,,,,
617,4701.232917,,,,76114.75042,,,,928.0228547,,,0.06176507,,,,,
618,4663.293333,,,,72709.93208,,,,1151.317355,,,0.064135575,,,,,
619,5653.797083,,,,70202.20583,,,,765.4303735,,,0.080535889,,,,,
620,6982.54375,,,,67782.265,,,,1019.801696,,,0.103014317,,,,,
621,6271.204167,,,,62651.77333,,,,1164.020881,,,0.100096196,,,,,
622,1929.679583,,,,61347.48833,,,,959.5263615,,,0.031454908,,,,,
623,582.7816667,,,,70152.3975,,,,285.1490413,,,0.008307366,,,,,
624,770.2783333,,,,72742.2875,,,,571.6944711,,,0.010589141,,,,,
625,2718.141667,,,,73535.72792,,,,1487.496704,,,0.036963552,,,,,
626,5848.32125,,,,74276.95542,,,,870.3857007,,,0.078736685,,,,,
627,3102.61125,,,,71457.61667,,,,1008.46641,,,0.043418902,,,,,
628,7309.985417,,,,64142.69208,,,,1680.64224,,,0.113964431,,,,,
629,8654.21125,,,,63427.28083,,,,1825.1997,,,0.136443044,,,,,
630,9560.836667,,,,71700.11667,,,,616.668701,,,0.133344785,,,,,
631,4979.022083,,,,71407.62917,,,,1512.64434,,,0.069726752,,,,,
632,2931.40375,,,,70390.40958,,,,1111.985503,,,0.041644931,,,,,
633,7422.903333,,,,71090.26125,,,,1654.793638,,,0.104415193,,,,,
634,4546.905417,,,,69879.26417,,,,1387.049642,,,0.065068021,,,,,
635,2708.88375,,,,64351.83083,,,,1084.550738,,,0.042094898,,,,,
636,7958.517083,,,,62750.02042,,,,1284.805406,,,0.126828916,,,,,
637,9662.63875,,,,69648.47625,,,,757.2620611,,,0.138734388,,,,,
638,5279.765,,,,70388.32125,,,,2291.367894,,,0.075009105,,,,,
639,5317.04375,,,,71705.06167,,,,685.225106,,,0.074151582,,,,,
640,3179.405417,,,,71819.94292,,,,2341.651116,,,0.044269116,,,,,
641,6941.580417,,,,70504.5075,,,,963.8465195,,,0.098455839,,,,,
642,7408.270833,,,,64695.03958,,,,2018.78181,,,0.114510647,,,,,
643,2989.2725,,,,61539.88042,,,,1781.186404,,,0.048574558,,,,,
644,5467.435417,,,,68978.81042,,,,1840.528592,,,0.079262536,,,,,
645,5922.1275,,,,69429.45875,,,,1165.257512,,,0.085297043,,,,,
646,10195.44875,,,,70213.46333,,,,2568.215165,,,0.145206464,,,,,
647,7468.349167,,,,70617.65875,,,,3556.610844,,,0.10575753,,,,,
648,4611.344167,,,,68685.43625,,,,1806.893969,,,0.067137146,,,,,
649,7157.205833,,,,64063.28958,,,,1946.482619,,,0.11172086,,,,,
650,5710.57,,,,61025.06,,,,1346.473063,,,0.093577458,,,,,
651,4422.254583,,,,68509.21083,,,,927.5499692,,,0.064549781,,,,,
652,6938.108333,,,,69276.65542,,,,1843.03438,,,0.10015074,,,,,
653,7983.76375,,,,69773.92667,,,,404.138296,,,0.114423312,,,,,
654,8755.067083,,,,71080.30708,,,,928.4287114,,,0.123171486,,,,,
655,6850.862083,,,,70382.25625,,,,1503.610228,,,0.097337915,,,,,
656,4860.395833,,,,64697.2375,,,,1136.998716,,,0.075125245,,,,,
657,7619.58,,,,62804.23708,,,,470.8160466,,,0.121322706,,,,,
658,6138.335,,,,69898.44333,,,,1651.920562,,,0.087817907,,,,,
659,5479.565,,,,70229.46625,,,,744.1525355,,,0.078023731,,,,,
660,6105.692083,,,,70589.10167,,,,2366.227887,,,0.086496243,,,,,
661,11041.09,,,,70576.06917,,,,781.7636377,,,0.156442405,,,,,
662,7244.130833,,,,70267.20375,,,,1985.802457,,,0.103094053,,,,,
663,7244.091667,,,,65187.44917,,,,1695.704003,,,0.111127092,,,,,
664,8789.014583,,,,62592.11542,,,,1330.872281,,,0.14041728,,,,,
665,9397.60375,,,,69752.70208,,,,694.5103179,,,0.134727451,,,,,
666,8271.847083,,,,71427.79208,,,,1854.310851,,,0.115807123,,,,,
667,9564.204167,,,,69990.26917,,,,1491.085188,,,0.136650484,,,,,
668,11583.56333,,,,71571.00458,,,,772.143195,,,0.161847153,,,,,
669,5316.035417,,,,72253.46292,,,,1370.698368,,,0.073574818,,,,,
670,4714.651667,,,,69497.64875,,,,1432.577382,,,0.06783901,,,,,
671,6145.777917,,,,70978.57333,,,,1478.964812,,,0.086586383,,,,,
672,4752.94875,,,,76149.52458,,,,2969.900023,,,0.062416,,,,,
673,7185.9625,,,,74481.10625,,,,1723.843611,,,0.096480341,,,,,
674,8427.435417,,,,71638.09792,,,,1918.708722,,,0.117639017,,,,,
